"MEASURE","Measure","REGIONTYPE","Geography Level","LGA_2018","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10550","Bega Valley (A)","A","Annual","2017","2017",34117,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10550","Bega Valley (A)","A","Annual","2018","2018",34348,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10600","Bellingen (A)","A","Annual","2001","2001",12634,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10600","Bellingen (A)","A","Annual","2002","2002",12673,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10600","Bellingen (A)","A","Annual","2003","2003",12705,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10600","Bellingen (A)","A","Annual","2004","2004",12672,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10600","Bellingen (A)","A","Annual","2005","2005",12682,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10600","Bellingen (A)","A","Annual","2006","2006",12716,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10600","Bellingen (A)","A","Annual","2007","2007",12773,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10600","Bellingen (A)","A","Annual","2008","2008",12787,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10600","Bellingen (A)","A","Annual","2009","2009",12837,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10600","Bellingen (A)","A","Annual","2010","2010",12891,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10600","Bellingen (A)","A","Annual","2011","2011",12923,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10600","Bellingen (A)","A","Annual","2012","2012",12909,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10600","Bellingen (A)","A","Annual","2013","2013",12920,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10600","Bellingen (A)","A","Annual","2014","2014",12929,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10600","Bellingen (A)","A","Annual","2015","2015",12936,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10600","Bellingen (A)","A","Annual","2016","2016",12951,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10600","Bellingen (A)","A","Annual","2017","2017",12951,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10600","Bellingen (A)","A","Annual","2018","2018",12963,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10650","Berrigan (A)","A","Annual","2001","2001",8075,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10650","Berrigan (A)","A","Annual","2002","2002",8058,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10650","Berrigan (A)","A","Annual","2003","2003",8035,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10650","Berrigan (A)","A","Annual","2004","2004",8014,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10650","Berrigan (A)","A","Annual","2005","2005",8076,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10650","Berrigan (A)","A","Annual","2006","2006",8160,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10650","Berrigan (A)","A","Annual","2007","2007",8204,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10650","Berrigan (A)","A","Annual","2008","2008",8237,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10650","Berrigan (A)","A","Annual","2009","2009",8282,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10650","Berrigan (A)","A","Annual","2010","2010",8291,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10650","Berrigan (A)","A","Annual","2011","2011",8297,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10650","Berrigan (A)","A","Annual","2012","2012",8365,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10650","Berrigan (A)","A","Annual","2013","2013",8436,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10650","Berrigan (A)","A","Annual","2014","2014",8519,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10650","Berrigan (A)","A","Annual","2015","2015",8568,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10650","Berrigan (A)","A","Annual","2016","2016",8609,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10650","Berrigan (A)","A","Annual","2017","2017",8667,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10650","Berrigan (A)","A","Annual","2018","2018",8707,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10750","Blacktown (C)","A","Annual","2001","2001",263103,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10750","Blacktown (C)","A","Annual","2002","2002",267048,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10750","Blacktown (C)","A","Annual","2003","2003",268806,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10750","Blacktown (C)","A","Annual","2004","2004",271434,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10750","Blacktown (C)","A","Annual","2005","2005",275206,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10750","Blacktown (C)","A","Annual","2006","2006",278894,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10750","Blacktown (C)","A","Annual","2007","2007",284925,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10750","Blacktown (C)","A","Annual","2008","2008",292002,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10750","Blacktown (C)","A","Annual","2009","2009",299450,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10750","Blacktown (C)","A","Annual","2010","2010",306601,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10750","Blacktown (C)","A","Annual","2011","2011",312346,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10750","Blacktown (C)","A","Annual","2012","2012",317735,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10750","Blacktown (C)","A","Annual","2013","2013",324797,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10750","Blacktown (C)","A","Annual","2014","2014",331825,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10750","Blacktown (C)","A","Annual","2015","2015",339449,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10750","Blacktown (C)","A","Annual","2016","2016",348030,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10750","Blacktown (C)","A","Annual","2017","2017",357839,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10750","Blacktown (C)","A","Annual","2018","2018",366534,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10800","Bland (A)","A","Annual","2001","2001",6603,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10800","Bland (A)","A","Annual","2002","2002",6529,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10800","Bland (A)","A","Annual","2003","2003",6453,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10800","Bland (A)","A","Annual","2004","2004",6360,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10800","Bland (A)","A","Annual","2005","2005",6263,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10800","Bland (A)","A","Annual","2006","2006",6212,,
